  0.05  0.04  0.04  0.03  0.03  0.03  0.01  0.01  0.01  0.00  0.00  0.00  0.00  0.00  0.00 -0.01 -0.01 -0.01  0.00  0.00  0.00  0.00  0.00  0.01  0.01  0.01  0.03  0.03  0.03  0.04  0.04  0.05  0.05  0.06  0.06  0.08  0.08  0.09  0.09  0.09  0.10  0.10  0.10  0.10  0.10  0.12  0.12  0.12  0.12  0.10  0.10  0.10  0.10  0.10  0.09  0.09  0.09  0.08  0.08  0.08  0.06  0.06  0.05  0.05
  0.04  0.03  0.01  0.00 -0.01 -0.03 -0.04 -0.05 -0.06 -0.08 -0.08 -0.09 -0.10 -0.10 -0.12 -0.12 -0.12 -0.13 -0.13 -0.12 -0.12 -0.12 -0.10 -0.09 -0.08 -0.06 -0.05 -0.04 -0.01  0.00  0.03  0.04  0.06  0.09  0.10  0.13  0.14  0.17  0.18  0.20  0.21  0.21  0.22  0.22  0.23  0.23  0.22  0.22  0.22  0.21  0.21  0.20  0.18  0.18  0.17  0.16  0.14  0.13  0.12  0.10  0.09  0.08  0.06  0.05
  0.03  0.01 -0.01 -0.03 -0.04 -0.05 -0.08 -0.09 -0.10 -0.12 -0.14 -0.16 -0.17 -0.18 -0.20 -0.21 -0.22 -0.22 -0.23 -0.23 -0.23 -0.22 -0.22 -0.21 -0.18 -0.17 -0.14 -0.10 -0.08 -0.04  0.00  0.04  0.08  0.12  0.14  0.18  0.22  0.25  0.27  0.30  0.31  0.32  0.34  0.34  0.34  0.34  0.32  0.31  0.31  0.29  0.27  0.26  0.25  0.22  0.21  0.18  0.17  0.14  0.13  0.12  0.09  0.08  0.06  0.04
  0.01  0.00 -0.01 -0.04 -0.05 -0.06 -0.09 -0.10 -0.13 -0.14 -0.17 -0.18 -0.21 -0.23 -0.25 -0.27 -0.29 -0.30 -0.31 -0.32 -0.32 -0.32 -0.32 -0.31 -0.29 -0.26 -0.22 -0.18 -0.14 -0.09 -0.04  0.03  0.08  0.13  0.20  0.23  0.29  0.32  0.36  0.39  0.40  0.42  0.43  0.43  0.43  0.42  0.40  0.38  0.36  0.34  0.31  0.29  0.26  0.23  0.22  0.20  0.17  0.14  0.13  0.10  0.09  0.06  0.05  0.04
  0.01  0.00 -0.03 -0.04 -0.05 -0.06 -0.08 -0.10 -0.12 -0.14 -0.17 -0.20 -0.21 -0.23 -0.27 -0.30 -0.32 -0.34 -0.36 -0.39 -0.40 -0.40 -0.40 -0.39 -0.38 -0.35 -0.31 -0.26 -0.21 -0.14 -0.06  0.00  0.08  0.16  0.22  0.29  0.35  0.40  0.44  0.47  0.49  0.49  0.49  0.49  0.48  0.45  0.43  0.40  0.38  0.34  0.31  0.29  0.25  0.22  0.20  0.17  0.14  0.13  0.10  0.09  0.06  0.05  0.04  0.03
  0.00 -0.01 -0.01 -0.03 -0.04 -0.05 -0.06 -0.08 -0.10 -0.12 -0.14 -0.17 -0.20 -0.22 -0.25 -0.29 -0.31 -0.35 -0.38 -0.40 -0.43 -0.45 -0.45 -0.45 -0.44 -0.42 -0.38 -0.32 -0.26 -0.18 -0.10 -0.01  0.08  0.17  0.25  0.32  0.39  0.45  0.49  0.52  0.53  0.55  0.53  0.52  0.49  0.45  0.43  0.39  0.35  0.31  0.27  0.25  0.21  0.18  0.16  0.13  0.12  0.09  0.08  0.06  0.05  0.04  0.03  0.01
  0.00 -0.01 -0.01 -0.01 -0.03 -0.04 -0.04 -0.05 -0.06 -0.08 -0.10 -0.12 -0.14 -0.17 -0.21 -0.23 -0.27 -0.31 -0.35 -0.39 -0.43 -0.45 -0.48 -0.48 -0.48 -0.45 -0.42 -0.36 -0.30 -0.22 -0.13 -0.03  0.08  0.17  0.26  0.35  0.42  0.48  0.52  0.55  0.55  0.55  0.52  0.49  0.45  0.42  0.38  0.34  0.29  0.25  0.21  0.18  0.16  0.13  0.10  0.08  0.06  0.05  0.04  0.03  0.03  0.01  0.01  0.00
  0.00  0.00  0.00 -0.01 -0.01 -0.01 -0.01 -0.03 -0.03 -0.04 -0.05 -0.06 -0.08 -0.10 -0.13 -0.17 -0.21 -0.25 -0.30 -0.34 -0.39 -0.43 -0.45 -0.48 -0.48 -0.47 -0.44 -0.39 -0.32 -0.23 -0.14 -0.04  0.06  0.17  0.26  0.35  0.42  0.47  0.51  0.52  0.52  0.51  0.47  0.43  0.39  0.34  0.30  0.25  0.21  0.17  0.13  0.10  0.08  0.06  0.04  0.03  0.03  0.01  0.01  0.00  0.00  0.00  0.00  0.00
  0.00  0.00  0.00  0.01  0.01  0.01  0.01  0.00  0.00  0.00  0.00 -0.01 -0.01 -0.04 -0.05 -0.08 -0.12 -0.16 -0.21 -0.26 -0.31 -0.36 -0.40 -0.43 -0.45 -0.45 -0.43 -0.39 -0.32 -0.25 -0.16 -0.05  0.05  0.16  0.25  0.32  0.39  0.44  0.47  0.47  0.45  0.43  0.39  0.34  0.29  0.23  0.18  0.14  0.10  0.06  0.04  0.01  0.00 -0.01 -0.01 -0.01 -0.03 -0.03 -0.01 -0.01 -0.01 -0.01  0.00  0.00
  0.01  0.01  0.01  0.03  0.03  0.03  0.03  0.03  0.04  0.04  0.04  0.04  0.04  0.04  0.03  0.00 -0.03 -0.06 -0.10 -0.16 -0.21 -0.27 -0.32 -0.36 -0.39 -0.40 -0.39 -0.36 -0.31 -0.23 -0.16 -0.06  0.04  0.13  0.22  0.29  0.35  0.38  0.39  0.39  0.36  0.32  0.27  0.22  0.17  0.10  0.06  0.03 -0.01 -0.04 -0.05 -0.06 -0.06 -0.06 -0.06 -0.05 -0.05 -0.04 -0.04 -0.03 -0.03 -0.01 -0.01  0.00
