YYDDD;Month;Day ;Time (UT);SALU MLT;max dB/dt;SME;SYM/H;
;;;;;;;;
15003;Jan;3;1:31;20,50;6,2;481;-47;
;;;;;;; ;
15007;Jan;7;9:16;5,00;13,9;1530;-61;
;;;;;;;;
15008;Jan;8;4:39;23,90;6,1;685;-41;
;;;;;;;;
15010;Jan;10;3:58;23,20;8,2;374;-36;
;;;;;;;;
15033;Feb;2;0:38;19,6;6,5;416;-13;
;;;;;;;;
15055;Feb;24;3:17;22,45;6,4;1222;-70;
;;;;;;;;
15060;Mar;1;1:44;20,8;6,4;558;-33;
;;;;;;;;
15062;Mar;3;22:52;17,85;6,9;437;-24;
;;;;;;;;
15071;Mar;12;3:57;23,2;6,4;452;-10;
;;;;;;;;
15073;Mar;14;4:38;23,9;7,2;281;-6;
;;;;;;;;
15077;Mar;18;22:44;18,3;6;1018;-72;
;;;;;;;;
15078;Mar;19;2:13;21,7;7,6;285;-56;
;;;;;;;;
15079;Mar;20;1:49;21,3;10,2;573;-72;
;;;;;;;;
15080;Mar;21;0:40;20,1;7;518;-59;
;;;;;;;;
15081;Mar;22;7:24;2,85;6,5;1536;-45;
;;;;;;;;
15096;Apr;6;2:44;22,2;11;276;-14;
;;;; ;;;;
15096;Apr;6;3:15;22,7;6;194;-11;
;;;;;;;;
15106;Apr;16;0:52;20,3;7,1;594;-54;
;;;;;;;;
15113;Apr;23;4:06;23,5;6,2;549;-2;
;;;;;;;;
15114;Apr;24;3:40;23,1;6,1;293;-14;
;;;;;;;;
15132;May;12;2:24;21,9;7,7;896;-16;
;;;;;;;;
15160;Jun;9;22:52;18,4;6,6;556;-34;
;;;;;;;;
15174;Jun;23;9:39;5,1;17,1;756;-147;
;;;;;;;;
15176;Jun;25;9:30;4,8;20,2;885;-57;
;;;;;;;;
15176;Jun;25;23:43;19,2;14,2;327;-68;
;;;;;;;;
15179;Jun;28;5:13;0,5;6,6;609;-43;
;;;;;;;;
15190;Jul;9;4:04;23,4;6,6;368;-20;
;;;;;;;;
15193;Jul;12;1:45;21,2;6,3;537;-23;
;;;;;;;;
15194;Jul;13;7:08;2,3;6,9;990;-38;
;;;;;;;;
15204;Jul;23;1:00;20,45;6,2;418;-17;
;;;;;;;;
15213;Aug;1;1:14;20,7;6,2;317;-10;
;;;;;;;;
15214;Aug;2;0:49;20,25;8,9;423;-8;
;;;;;;;;
15216;Aug;4;3:01;22,35;6,2;313;0;
;;;;;;;;
15229;Aug;17;2:54;22,35;16,6;378;-27;
;;;;;;;;
15235;Aug;20;2:12;21,6;6,7;151;-14;
;;;;;;;;
15232;Aug;20;3:12;22,55;10,8;377;-9;
;;;;;;;;
15232;Aug;20;3:38;23;12,1;369;-8;
;;;;;;;;
15235;Aug;23;2:28;21,85;8,4;431;5;
;;;;;;;;
15236;Aug ;24;1:27;20,9;9,6;463;-19;
;;;;;;;;
15237;Aug;25;2:41;22,1;10,5;258;-4;
;;;;;;;;
15238;Aug;26;23:07;18,7;13,6;1022;-57;
;;;;;;;;
15239;Aug;27;3:46;23,1;12,6;969;-53;
;;;;;;;;
15241;Aug;29;1:12;20,7;14,9;735;-54;
;;;;;;;;
15244;Sep;1;5:13;0,5;7,7;133;-3;
;;;;;;;;
15250;Sep;7;23:38;19,1;9;1027;-67;
;;;;;;;;
15252;Sep;9;9:32;5,2;14,8;1121;-89;
;;;;;;;;
15252;Sep;9;9:43;5,4;10,1;1592;-95;
;;;;;;;;
15254;Sep;11;5:17;1;6,4;696;-33;
;;;;;;;;
15254;Sep;11;9:54;5,6;10,3;647;-59;
;;;;;;;;
