LAT	LON	CODE	NAME	INSTITUTION	FULL_TITLE	NAME_ENG	INST_ENG	GIN	COMMENT
43,200	76,900	AAA	Alma Ata			Alma Ata	IIRK	Edi	
18,620	72,870	ABG	Alibag			Alibag	IIG	Kyo	
68,358	18,823	ABK	Abisko			Abisko	SGU	Edi	
-65,250	295,750	AIA	Argentine Islands (Akademik Vernadsky base)			Argentine Islands (Akademik Vernadsky base)	NASC	Ott	
-13,800	188,220	API	Apia			Apia	DAFFM	Edi	
56,433	58,567	ARS	Арти	ИГФ УрО РАН	Институт геофизики УрО РАН	Arti	IGF UB RAS	Edi	
-7,950	345,620	ASC	Ascension Island			Ascension Island	BGS	Edi	
-23,770	133,880	ASP	Alice Springs			Alice Springs	GA	Edi	
49,080	14,020	BDV	Budkov			Budkov	ASCR	Edi	
51,840	20,790	BEL	Belsk			Belsk	PAS	Edi	
48,331	8,325	BFO	Black Forest			Black Forest	GGUKS	Edi	
64,318	263,988	BLC	Baker Lake			Baker Lake	GSC	Ott	
40,300	116,200	BMT	Beijing Ming Tombs			Beijing Ming Tombs	CHAS	Kyo	
40,140	254,760	BOU	Boulder			Boulder	USGS	Gol	
58,070	38,230	BOX	Борок	ИФЗ РАН	Институт физики Земли им.О.Ю.Шмидта РАН	Borok	IPE RAS	Par	
49,870	260,026	BRD	Brandon			Brandon	GSC	Ott	
71,320	203,380	BRW	Barrow			Barrow	USGS	Gol	
30,350	270,360	BSL	Stennis Space Center			Stennis Space Center	USGS	Gol	
69,123	254,969	CBB	Cambridge Bay			Cambridge Bay	GSC	Ott	
64,2	283,4	CDR	Cape Dorset
-12,188	96,834	CKI	Cocos-Keeling Islands			Cocos-Keeling Islands	GA	Edi	
48,020	2,270	CLF	Chambon la Foret			Chambon la Foret	IPGP	Par	
64,870	212,140	CMO	College			College	USGS	Gol	
-35,320	149,360	CNB	Canberra			Canberra	GA	Edi	
44,080	124,860	CNH	Changchun			Changchun	CEA	Edi	
17,294	78,919	CPL	Choutuppal			Choutuppal	NGRI	Edi	
-66,283	110,533	CSY	Casey Station			Casey Station	GA	Edi	
-20,100	146,300	CTA	Charters Towers			Charters Towers	GA	Edi	
36,370	126,854	CYG	Cheongyang			Cheongyang	KMA	Kyo	
-46,430	51,870	CZT	Port Alfred			Port Alfred	EOST	Par	
70,360	211,210	DED	Deadhorse			Deadhorse	USGS	Gol	
11,940	108,480	DLT	Dalat			Dalat	VAST / IPGP	Par	
-75,250	124,167	DMC	Dome C			Dome C	EOST / INGV	Par	
50,100	4,600	DOU	Dourbes			Dourbes	RMIB	Edi	
